start_time,date,tokens_transferred_mean,tokens_transferred_median,tokens_transferred_total
1258675200000,2009-11-20,,0,0
1258761600000,2009-11-21,,0,0
1258848000000,2009-11-22,,0,0
1258934400000,2009-11-23,,0,0
1259020800000,2009-11-24,,0,0
1259107200000,2009-11-25,,0,0
1259193600000,2009-11-26,,0,0
1259280000000,2009-11-27,,0,0
1259366400000,2009-11-28,,0,0
1259452800000,2009-11-29,,0,0
1259539200000,2009-11-30,,0,0
1259625600000,2009-12-01,10050,10050,10050
1259712000000,2009-12-02,,0,0
1259798400000,2009-12-03,,0,0
1259884800000,2009-12-04,,0,0
1259971200000,2009-12-05,900,900,900
1260057600000,2009-12-06,70,70,140
1260144000000,2009-12-07,,0,0
1260230400000,2009-12-08,750,750,1500
1260316800000,2009-12-09,181.15384615,47,2355
1260403200000,2009-12-10,,0,0
1260489600000,2009-12-11,,0,0
1260576000000,2009-12-12,2600,2600,5200
1260662400000,2009-12-13,,0,0
1260748800000,2009-12-14,6509.14,399,32545.7
1260835200000,2009-12-15,2729.5,2729.5,5459
1260921600000,2009-12-16,850,850,850
1261008000000,2009-12-17,99.83333333,50,299.5
1261094400000,2009-12-18,,0,0
1261180800000,2009-12-19,50,50,50
1261267200000,2009-12-20,,0,0
1261353600000,2009-12-21,50,50,50
1261440000000,2009-12-22,,0,0
1261526400000,2009-12-23,,0,0
1261612800000,2009-12-24,,0,0
1261699200000,2009-12-25,50,50,50
1261785600000,2009-12-26,,0,0
1261872000000,2009-12-27,250,250,250
1261958400000,2009-12-28,,0,0
1262044800000,2009-12-29,,0,0
1262131200000,2009-12-30,,0,0
1262217600000,2009-12-31,,0,0
1262304000000,2010-01-01,50,50,100
1262390400000,2010-01-02,,0,0
1262476800000,2010-01-03,,0,0
1262563200000,2010-01-04,10402.175,10402.175,20804.35
1262649600000,2010-01-05,,0,0
1262736000000,2010-01-06,,0,0
1262822400000,2010-01-07,,0,0
1262908800000,2010-01-08,,0,0
1262995200000,2010-01-09,,0,0
1263081600000,2010-01-10,,0,0
1263168000000,2010-01-11,,0,0
1263254400000,2010-01-12,5399.94,5399.94,10799.88
1263340800000,2010-01-13,29,29,58
1263427200000,2010-01-14,202.5,202.5,405
1263513600000,2010-01-15,200.74,200.74,200.74
1263600000000,2010-01-16,251,251,251
1263686400000,2010-01-17,,0,0
1263772800000,2010-01-18,50,50,50
1263859200000,2010-01-19,,0,0
1263945600000,2010-01-20,,0,0
1264032000000,2010-01-21,76.47666667,47,688.29
1264118400000,2010-01-22,83.33333333,100,250
1264204800000,2010-01-23,25.5,25.5,51
1264291200000,2010-01-24,50,50,50
1264377600000,2010-01-25,825,375,3300
1264464000000,2010-01-26,145.5,62,873
1264550400000,2010-01-27,500,500,1000
1264636800000,2010-01-28,525,525,1050
1264723200000,2010-01-29,237.5,200,950
1264809600000,2010-01-30,425,325,1700
1264896000000,2010-01-31,550,550,1100
1264982400000,2010-02-01,288.88888889,250,2600
1265068800000,2010-02-02,1050,1050,1050
1265155200000,2010-02-03,150,150,300
1265241600000,2010-02-04,409.998,100,2049.99
1265328000000,2010-02-05,3062.25,149.5,12249
1265414400000,2010-02-06,150,50,2100
1265500800000,2010-02-07,99.8,50,499
1265587200000,2010-02-08,837.875,375,6703
1265673600000,2010-02-09,6966.66666667,1700,20900
1265760000000,2010-02-10,6060,10000,30300
1265846400000,2010-02-11,740,100,3700
1265932800000,2010-02-12,1530,1900,7650
1266019200000,2010-02-13,2066.33333333,450,6199
1266105600000,2010-02-14,1784.04636364,50,19624.51
1266192000000,2010-02-15,505.55333333,100,4549.98
1266278400000,2010-02-16,127.22833333,75,763.37
1266364800000,2010-02-17,5338.40909091,500,58722.5
1266451200000,2010-02-18,414.14285714,250,2899
1266537600000,2010-02-19,33.33666667,49.98,100.01
1266624000000,2010-02-20,325,325,650
1266710400000,2010-02-21,1566.7075,433.415,6266.83
1266796800000,2010-02-22,2860,1200,14300
1266883200000,2010-02-23,50,50,50
1266969600000,2010-02-24,883.33333333,425,5300
1267056000000,2010-02-25,2650,2000,10600
1267142400000,2010-02-26,2737.25,449.5,10949
1267228800000,2010-02-27,150.33333333,200,451
1267315200000,2010-02-28,1766.33333333,50,5299
1267401600000,2010-03-01,400,250,1600
1267488000000,2010-03-02,400,350,2000
1267574400000,2010-03-03,1700,1050,10200
1267660800000,2010-03-04,6450,300,19350
1267747200000,2010-03-05,75,75,150
1267833600000,2010-03-06,3957.89833333,75,23747.39
1267920000000,2010-03-07,1875,1575,7500
1268006400000,2010-03-08,1809.036,300,9045.18
1268092800000,2010-03-09,2025,2025,4050
1268179200000,2010-03-10,371.42714286,100,2599.99
1268265600000,2010-03-11,1066.66666667,1000,3200
1268352000000,2010-03-12,175,175,350
1268438400000,2010-03-13,1800,1800,1800
1268524800000,2010-03-14,775,775,1550
1268611200000,2010-03-15,30.4,48,152
1268697600000,2010-03-16,400.33333333,101,1201
1268784000000,2010-03-17,416.66666667,200,1250
1268870400000,2010-03-18,438.88888889,50,3950
1268956800000,2010-03-19,705.11111111,150,6346
1269043200000,2010-03-20,412.5,300,4950
1269129600000,2010-03-21,64.57142857,50,452
1269216000000,2010-03-22,350,150,2450
1269302400000,2010-03-23,306.68692308,100,3986.93
1269388800000,2010-03-24,163.63636364,50,1800
1269475200000,2010-03-25,1606.73333333,100,24101
1269561600000,2010-03-26,250,75,4000
1269648000000,2010-03-27,433.33333333,100,2600
1269734400000,2010-03-28,358.33333333,125,2150
1269820800000,2010-03-29,287.5,100,3450
1269907200000,2010-03-30,91.66666667,50,550
1269993600000,2010-03-31,294.84,50,1474.2
1270080000000,2010-04-01,127.27272727,50,1400
1270166400000,2010-04-02,200,100,1000
1270252800000,2010-04-03,344.696,400,1723.48
1270339200000,2010-04-04,287.5,75,3450
1270425600000,2010-04-05,379.89964286,100,10637.19
1270512000000,2010-04-06,342.73333333,50,5141
1270598400000,2010-04-07,500.28545455,150,5503.14
1270684800000,2010-04-08,257.395,75,3088.74
1270771200000,2010-04-09,844.51314286,150,29557.96
1270857600000,2010-04-10,392.34342105,50,14909.05
1270944000000,2010-04-11,385.31333333,50,16183.16
1271030400000,2010-04-12,638.31272727,99.995,28085.76
1271116800000,2010-04-13,118,50,2360
1271203200000,2010-04-14,149.97418605,50,6448.89
1271289600000,2010-04-15,1531.42297297,384,113325.3
1271376000000,2010-04-16,403.52125,50,12912.68
1271462400000,2010-04-17,146.3062069,50,4242.88
1271548800000,2010-04-18,11.95138764,3.78,37121.01
1271635200000,2010-04-19,555.0425,50,24421.87
1271721600000,2010-04-20,382.5,100,14535
1271808000000,2010-04-21,250.9003125,100,8028.81
1271894400000,2010-04-22,538.57125,100,21542.85
1271980800000,2010-04-23,79.0806,50,3954.03
1272067200000,2010-04-24,356.85470588,50,12133.06
1272153600000,2010-04-25,339.27234043,50,15945.8
1272240000000,2010-04-26,258.41468085,50,12145.49
1272326400000,2010-04-27,159.1309434,50,8433.94
1272412800000,2010-04-28,179.20297872,50,8422.54
1272499200000,2010-04-29,168.95030303,50,5575.36
1272585600000,2010-04-30,2362.32,50,61420.32
1272672000000,2010-05-01,192.54074074,50,5198.6
1272758400000,2010-05-02,91.96,50,2299
1272844800000,2010-05-03,277.62068966,50,8051
1272931200000,2010-05-04,459.75902439,50.01,18850.12
1273017600000,2010-05-05,760.3864,50,19009.66
1273104000000,2010-05-06,567.89321429,125,15901.01
1273190400000,2010-05-07,1301.69230769,100,33844
1273276800000,2010-05-08,624.295,100,17480.26
1273363200000,2010-05-09,246.96,126.5,9878.4
1273449600000,2010-05-10,305.64758621,100,8863.78
1273536000000,2010-05-11,107.90263158,50,2050.15
1273622400000,2010-05-12,677.1909375,50,21670.11
1273708800000,2010-05-13,279.68666667,100,10907.78
1273795200000,2010-05-14,523.698,50,15710.94
1273881600000,2010-05-15,146.66545455,50,3226.64
1273968000000,2010-05-16,121.932,63.82,2438.64
1274054400000,2010-05-17,306.47085714,50,10726.48
1274140800000,2010-05-18,171.28909091,50,9420.9
1274227200000,2010-05-19,355.92116279,100,15304.61
1274313600000,2010-05-20,112.79323529,50,3834.97
1274400000000,2010-05-21,675.01627119,50,39825.96
1274486400000,2010-05-22,1441.21064516,50,44677.53
1274572800000,2010-05-23,224.88122449,50,22038.36
1274659200000,2010-05-24,100.90322581,50,6256
1274745600000,2010-05-25,171.59090909,50,7550
1274832000000,2010-05-26,263.14015625,50,16840.97
1274918400000,2010-05-27,194.82013333,50,14611.51
1275004800000,2010-05-28,544.57611111,50,29407.11
1275091200000,2010-05-29,804.56363636,50,44251
1275177600000,2010-05-30,107.10392157,50,5462.3
1275264000000,2010-05-31,131.94230769,50,6861
1275350400000,2010-06-01,148.83291667,50,7143.98
1275436800000,2010-06-02,161.85702128,50,7607.28
1275523200000,2010-06-03,116.55542169,50,9674.1
1275609600000,2010-06-04,675.56979167,50,32427.35
1275696000000,2010-06-05,140,50,6300
1275782400000,2010-06-06,165.44826923,50,8603.31
1275868800000,2010-06-07,523.07307692,50,27199.8
1275955200000,2010-06-08,149.22222222,50,9401
1276041600000,2010-06-09,1390.2225,50,72291.57
1276128000000,2010-06-10,555.53736842,50,31665.63
1276214400000,2010-06-11,130.74405063,50,10328.78
1276300800000,2010-06-12,181.16794872,50,14131.1
1276387200000,2010-06-13,212.41791045,50,14232
1276473600000,2010-06-14,450.948125,50,43291.02
1276560000000,2010-06-15,421.44705882,50,35823
1276646400000,2010-06-16,573.9816,50,28699.08
1276732800000,2010-06-17,375.66293103,50,21788.45
1276819200000,2010-06-18,269.45767442,50,11586.68
1276905600000,2010-06-19,912.07484375,50,58372.79
