timestamp,symbol,type,quantity,price,value
2025-04-12 02:07:43.026183,BTC,buy,0.0,13.58,0.0
2025-04-12 02:07:43.027290,BTC,buy,0.0,13.72,0.0
2025-04-12 02:07:43.028230,BTC,buy,0.0,13.0,0.0
2025-04-12 02:07:43.029125,BTC,buy,0.0,13.39,0.0
2025-04-12 02:07:43.030146,BTC,buy,0.0,12.89,0.0
2025-04-12 02:07:43.031043,BTC,buy,0.0,13.2,0.0
2025-04-12 02:07:43.032063,BTC,buy,0.0,13.53,0.0
2025-04-12 02:07:43.033119,BTC,buy,0.0,13.85,0.0
2025-04-12 02:07:43.034021,BTC,buy,0.0,13.195,0.0
2025-04-12 02:07:43.034922,BTC,buy,0.0,12.02,0.0
2025-04-12 02:07:43.035776,BTC,buy,0.0,12.01,0.0
2025-04-12 02:07:43.037460,BTC,buy,0.0,11.1101,0.0
2025-04-12 02:07:43.039026,BTC,buy,0.0,11.5575,0.0
2025-04-12 02:07:43.040106,BTC,buy,0.0,11.37,0.0
2025-04-12 02:07:43.041176,BTC,buy,0.0,11.22,0.0
2025-04-12 02:07:43.042105,BTC,buy,0.0,11.86,0.0
2025-04-12 02:07:43.043051,BTC,buy,0.0,11.95,0.0
2025-04-12 02:07:43.044063,BTC,buy,0.0,12.06,0.0
2025-04-12 02:07:43.044999,BTC,buy,0.0,11.93,0.0
2025-04-12 02:07:43.045913,BTC,buy,0.0,11.74,0.0
2025-04-12 02:07:43.046867,BTC,buy,0.0,11.14,0.0
2025-04-12 02:07:43.048178,BTC,sell,0.0,11.27,0.0
2025-04-12 02:07:43.049727,BTC,sell,0.0,10.61,0.0
2025-04-12 02:07:43.051883,BTC,sell,0.0,11.17,0.0
2025-04-12 02:07:43.052969,BTC,sell,0.0,11.23,0.0
2025-04-12 02:07:43.053916,BTC,sell,0.0,11.16,0.0
2025-04-12 02:07:43.054849,BTC,sell,0.0,11.03,0.0
2025-04-12 02:07:43.055860,BTC,sell,0.0,10.97,0.0
2025-04-12 02:07:43.057382,BTC,sell,0.0,10.87,0.0
2025-04-12 02:07:43.058528,BTC,sell,0.0,10.86,0.0
2025-04-12 02:07:43.059529,BTC,sell,0.0,11.28,0.0
2025-04-12 02:07:43.060417,BTC,sell,0.0,10.845,0.0
2025-04-12 02:07:43.061339,BTC,sell,0.0,10.97,0.0
2025-04-12 02:07:43.062191,BTC,sell,0.0,11.86,0.0
2025-04-12 02:07:43.063123,BTC,sell,0.0,11.77,0.0
2025-04-12 02:07:43.064042,BTC,sell,0.0,12.665,0.0
2025-04-12 02:07:43.064953,BTC,sell,0.0,12.38,0.0
2025-04-12 02:07:43.065799,BTC,sell,0.0,12.2,0.0
2025-04-12 02:07:43.066715,BTC,sell,0.0,12.45,0.0
2025-04-12 02:07:43.068157,BTC,sell,0.0,12.43,0.0
2025-04-12 02:07:43.069560,BTC,sell,0.0,12.83,0.0
2025-04-12 02:07:43.070586,BTC,sell,0.0,13.305,0.0
2025-04-12 02:07:43.071533,BTC,sell,0.0,14.295,0.0
2025-04-12 02:07:43.072643,BTC,sell,0.0,14.625,0.0
2025-04-12 02:07:43.073619,BTC,sell,0.0,14.38,0.0
2025-04-12 02:07:43.074562,BTC,sell,0.0,14.38,0.0
2025-04-12 02:07:43.075867,BTC,buy,0.0,15.67,0.0
2025-04-12 02:07:43.077053,BTC,buy,0.0,14.91,0.0
2025-04-12 02:07:43.078140,BTC,buy,0.0,15.26,0.0
2025-04-12 02:07:43.079185,BTC,buy,0.0,15.38,0.0
2025-04-12 02:07:43.080122,BTC,buy,0.0,15.51,0.0
2025-04-12 02:07:43.081235,BTC,buy,0.0,15.42,0.0
2025-04-12 02:07:43.082330,BTC,buy,0.0,15.87,0.0
2025-04-12 02:07:43.083963,BTC,buy,0.0,17.27,0.0
2025-04-12 02:07:43.085258,BTC,buy,0.0,17.54,0.0
2025-04-12 02:07:43.086309,BTC,buy,0.0,17.09,0.0
2025-04-12 02:07:43.087577,BTC,buy,0.0,16.51,0.0
2025-04-12 02:07:43.088611,BTC,buy,0.0,17.525,0.0
2025-04-12 02:07:43.089885,BTC,buy,0.0,18.24,0.0
2025-04-12 02:07:43.091269,BTC,buy,0.0,17.96,0.0
2025-04-12 02:07:43.092311,BTC,buy,0.0,18.86,0.0
2025-04-12 02:07:43.093277,BTC,buy,0.0,20.16,0.0
